country,name,value,fill,sum
Denmark,AV & Ground systems,0,EU Member State,31.2802
Denmark,Air Defences,8.5,EU Member State,31.2802
Denmark,Anti-armour,0,EU Member State,31.2802
Denmark,"Bombs, Munitions & Projectiles",0,EU Member State,31.2802
Denmark,C3 & Electronics,4.8,EU Member State,31.2802
Denmark,Combat aircraft,0,EU Member State,31.2802
Denmark,"Construction, Logistics & Services",0,EU Member State,31.2802
Denmark,Helicopters,0,EU Member State,31.2802
Denmark,Light weapons,0,EU Member State,31.2802
Denmark,Missiles,1.9994,EU Member State,31.2802
Denmark,Naval systems,0,EU Member State,31.2802
Denmark,Radars & sensors,0,EU Member State,31.2802
Denmark,Rockets/Artillery,0,EU Member State,31.2802
Denmark,Transport aircraft,0,EU Member State,31.2802
Denmark,UAVs,0,EU Member State,31.2802
Taiwan,AV & Ground systems,0,Non-European country,65.5709
Taiwan,Air Defences,0,Non-European country,65.5709
Taiwan,Anti-armour,0,Non-European country,65.5709
Taiwan,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
Taiwan,C3 & Electronics,1.34,Non-European country,65.5709
Taiwan,Combat aircraft,0,Non-European country,65.5709
Taiwan,"Construction, Logistics & Services",0,Non-European country,65.5709
Taiwan,Helicopters,0.096,Non-European country,65.5709
Taiwan,Light weapons,0.375,Non-European country,65.5709
Taiwan,Missiles,0,Non-European country,65.5709
Taiwan,Naval systems,0,Non-European country,65.5709
Taiwan,Radars & sensors,0,Non-European country,65.5709
Taiwan,Rockets/Artillery,8.5244,Non-European country,65.5709
Taiwan,Transport aircraft,0,Non-European country,65.5709
Taiwan,UAVs,1.1,Non-European country,65.5709
Israel,AV & Ground systems,0.475,Non-European country,65.5709
Israel,Air Defences,0,Non-European country,65.5709
Israel,Anti-armour,0,Non-European country,65.5709
Israel,"Bombs, Munitions & Projectiles",9.975700000000002,Non-European country,65.5709
Israel,C3 & Electronics,0,Non-European country,65.5709
Israel,Combat aircraft,0,Non-European country,65.5709
Israel,"Construction, Logistics & Services",0,Non-European country,65.5709
Israel,Helicopters,0,Non-European country,65.5709
Israel,Light weapons,0,Non-European country,65.5709
Israel,Missiles,0.66,Non-European country,65.5709
Israel,Naval systems,0,Non-European country,65.5709
Israel,Radars & sensors,0,Non-European country,65.5709
Israel,Rockets/Artillery,0,Non-European country,65.5709
Israel,Transport aircraft,0,Non-European country,65.5709
Israel,UAVs,0,Non-European country,65.5709
Philippines,AV & Ground systems,0,Non-European country,65.5709
Philippines,Air Defences,0,Non-European country,65.5709
Philippines,Anti-armour,0,Non-European country,65.5709
Philippines,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
Philippines,C3 & Electronics,0,Non-European country,65.5709
Philippines,Combat aircraft,5.7,Non-European country,65.5709
Philippines,"Construction, Logistics & Services",0,Non-European country,65.5709
Philippines,Helicopters,0,Non-European country,65.5709
Philippines,Light weapons,0,Non-European country,65.5709
Philippines,Missiles,0,Non-European country,65.5709
Philippines,Naval systems,0,Non-European country,65.5709
Philippines,Radars & sensors,0,Non-European country,65.5709
Philippines,Rockets/Artillery,0,Non-European country,65.5709
Philippines,Transport aircraft,0,Non-European country,65.5709
Philippines,UAVs,0,Non-European country,65.5709
Egypt,AV & Ground systems,0,Non-European country,65.5709
Egypt,Air Defences,4.67,Non-European country,65.5709
Egypt,Anti-armour,0,Non-European country,65.5709
Egypt,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
Egypt,C3 & Electronics,0,Non-European country,65.5709
Egypt,Combat aircraft,0,Non-European country,65.5709
