region,date,value,sum
Europe,2017,21.9827,353.9914
Europe,2018,31.2296,353.9914
Europe,2019,12.03386,353.9914
Europe,2020,52.75725,353.9914
Europe,2021,14.1052,353.9914
Europe,2022,28.8386,353.9914
Europe,2023,77.77512999999999,353.9914
Europe,2024,76.61266,353.9914
Europe,2025,38.6564,353.9914
Indo-Pacific,2017,7.9958,205.873481
Indo-Pacific,2018,8.1313,205.873481
Indo-Pacific,2019,31.245459999999998,205.873481
Indo-Pacific,2020,39.343711,205.873481
Indo-Pacific,2021,15.080400000000001,205.873481
Indo-Pacific,2022,28.830000000000002,205.873481
Indo-Pacific,2023,16.78311,205.873481
Indo-Pacific,2024,30.456,205.873481
Indo-Pacific,2025,28.0077,205.873481
MENA,2017,26.29745,199.38545
MENA,2018,8.3099,199.38545
MENA,2019,25.5052,199.38545
MENA,2020,39.69285,199.38545
MENA,2021,5.055,199.38545
MENA,2022,23.04518,199.38545
MENA,2023,6.1743,199.38545
MENA,2024,36.262370000000004,199.38545
MENA,2025,29.043200000000002,199.38545
Americas,2017,5.565,29.349332
Americas,2018,1.3394000000000001,29.349332
Americas,2019,0.994532,29.349332
Americas,2020,2.698,29.349332
Americas,2021,1.785,29.349332
Americas,2022,0.147,29.349332
Americas,2023,6.2134,29.349332
Americas,2024,2.533,29.349332
Americas,2025,8.074,29.349332
Africa,2017,1.264,2.707
Africa,2022,0.997,2.707
Africa,2025,0.44599999999999995,2.707
Central Asia,2020,0.1281,0.1281
