country,name,value,date
Total,Military personnel,65622,2024-06-01
Total,National Guard/Reserve,1779,2024-06-01
Total,APF DOD Civilian,18002,2024-06-01
Total,Military personnel,65999,2024-12-01
Total,National Guard/Reserve,1693,2024-12-01
Total,APF DOD Civilian,18493,2024-12-01
Total,Military personnel,67454,2025-06-01
Total,National Guard/Reserve,1730,2025-06-01
Total,APF DOD Civilian,18048,2025-06-01
Total,Military personnel,67874,2025-09-01
Total,National Guard/Reserve,1736,2025-09-01
Total,APF DOD Civilian,17325,2025-09-01
