id,event_date,year,President,country,geometry,week,stack
1,2017-01-20T00:00:00Z,2017,Trump I,Yemen,"c(45.801, 14.0851)",2017-01-15,1
2,2017-01-21T00:00:00Z,2017,Trump I,Yemen,"c(45.801, 14.0851)",2017-01-15,2
3,2017-01-22T00:00:00Z,2017,Trump I,Yemen,"c(45.801, 14.0851)",2017-01-22,1
4,2017-01-26T00:00:00Z,2017,Trump I,Yemen,"c(46.7333, 14.7667)",2017-01-22,2
5,2017-01-30T00:00:00Z,2017,Trump I,Yemen,"c(45.7189, 14.8007)",2017-01-29,1
6,2017-02-24T00:00:00Z,2017,Trump I,Somalia,"c(42.5463, -0.3603)",2017-02-19,1
7,2017-02-28T00:00:00Z,2017,Trump I,Yemen,"c(45.801, 14.0851)",2017-02-26,1
8,2017-03-02T00:00:00Z,2017,Trump I,Yemen,"c(45.801, 14.0851)",2017-02-26,2
9,2017-03-02T00:00:00Z,2017,Trump I,Yemen,"c(45.8333, 14.25)",2017-02-26,3
10,2017-03-02T00:00:00Z,2017,Trump I,Yemen,"c(45.801, 14.0851)",2017-02-26,4
11,2017-03-02T00:00:00Z,2017,Trump I,Yemen,"c(45.039, 14.5929)",2017-02-26,5
12,2017-03-02T00:00:00Z,2017,Trump I,Pakistan,"c(70.3288, 33.7059)",2017-02-26,6
13,2017-03-02T00:00:00Z,2017,Trump I,Yemen,"c(46.0179, 13.7721)",2017-02-26,7
14,2017-03-02T00:00:00Z,2017,Trump I,Yemen,"c(46.1663, 13.434)",2017-02-26,8
15,2017-03-02T00:00:00Z,2017,Trump I,Yemen,"c(46.9736, 14.2762)",2017-02-26,9
16,2017-03-02T00:00:00Z,2017,Trump I,Yemen,"c(44.8797, 14.5564)",2017-02-26,10
17,2017-03-02T00:00:00Z,2017,Trump I,Yemen,"c(44.9402, 14.5516)",2017-02-26,11
18,2017-03-02T00:00:00Z,2017,Trump I,Yemen,"c(45.0387, 14.7915)",2017-02-26,12
19,2017-03-02T00:00:00Z,2017,Trump I,Yemen,"c(45.0553, 14.5663)",2017-02-26,13
20,2017-03-03T00:00:00Z,2017,Trump I,Yemen,"c(45.5727, 13.9852)",2017-02-26,14
21,2017-03-03T00:00:00Z,2017,Trump I,Yemen,"c(45.3807, 13.1287)",2017-02-26,15
22,2017-03-03T00:00:00Z,2017,Trump I,Yemen,"c(46.9312, 14.3075)",2017-02-26,16
23,2017-03-03T00:00:00Z,2017,Trump I,Yemen,"c(46.0825, 13.9284)",2017-02-26,17
24,2017-03-04T00:00:00Z,2017,Trump I,Yemen,"c(46.7137, 13.5202)",2017-02-26,18
25,2017-03-04T00:00:00Z,2017,Trump I,Yemen,"c(46.8729, 14.3301)",2017-02-26,19
26,2017-03-04T00:00:00Z,2017,Trump I,Yemen,"c(46.1714, 13.4251)",2017-02-26,20
27,2017-03-05T00:00:00Z,2017,Trump I,Yemen,"c(45.8333, 14.25)",2017-03-05,1
28,2017-03-05T00:00:00Z,2017,Trump I,Yemen,"c(46.0179, 13.7721)",2017-03-05,2
29,2017-03-06T00:00:00Z,2017,Trump I,Yemen,"c(45.0387, 14.7915)",2017-03-05,3
30,2017-03-06T00:00:00Z,2017,Trump I,Yemen,"c(44.9402, 14.5516)",2017-03-05,4
31,2017-03-06T00:00:00Z,2017,Trump I,Yemen,"c(46.9312, 14.3075)",2017-03-05,5
32,2017-03-06T00:00:00Z,2017,Trump I,Yemen,"c(46.8729, 14.3301)",2017-03-05,6
33,2017-03-06T00:00:00Z,2017,Trump I,Yemen,"c(46.7137, 13.5202)",2017-03-05,7
34,2017-03-09T00:00:00Z,2017,Trump I,Yemen,"c(46.0179, 13.7721)",2017-03-05,8
35,2017-03-11T00:00:00Z,2017,Trump I,Somalia,"c(42.3015, 2.5799)",2017-03-05,9
36,2017-03-14T00:00:00Z,2017,Trump I,Yemen,"c(47.2333, 16.1333)",2017-03-12,1
37,2017-03-24T00:00:00Z,2017,Trump I,Yemen,"c(45.3056, 13.223)",2017-03-19,1
38,2017-03-29T00:00:00Z,2017,Trump I,Yemen,"c(46.1493, 13.8892)",2017-03-26,1
39,2017-03-29T00:00:00Z,2017,Trump I,Yemen,"c(47.2764, 14.4673)",2017-03-26,2
40,2017-03-29T00:00:00Z,2017,Trump I,Yemen,"c(46.1662, 13.5666)",2017-03-26,3
41,2017-03-29T00:00:00Z,2017,Trump I,Yemen,"c(46.0179, 13.7721)",2017-03-26,4
42,2017-03-30T00:00:00Z,2017,Trump I,Yemen,"c(46.1493, 13.8892)",2017-03-26,5
43,2017-03-30T00:00:00Z,2017,Trump I,Yemen,"c(45.1265, 15.5469)",2017-03-26,6
44,2017-03-30T00:00:00Z,2017,Trump I,Yemen,"c(46.6648, 13.4704)",2017-03-26,7
45,2017-03-30T00:00:00Z,2017,Trump I,Yemen,"c(46.1714, 13.4251)",2017-03-26,8
46,2017-03-30T00:00:00Z,2017,Trump I,Yemen,"c(46.7137, 13.5202)",2017-03-26,9
47,2017-03-30T00:00:00Z,2017,Trump I,Yemen,"c(45.8755, 13.6611)",2017-03-26,10
48,2017-03-30T00:00:00Z,2017,Trump I,Yemen,"c(46.0179, 13.7721)",2017-03-26,11
49,2017-03-30T00:00:00Z,2017,Trump I,Yemen,"c(45.8019, 14.0147)",2017-03-26,12
50,2017-03-31T00:00:00Z,2017,Trump I,Yemen,"c(46.0179, 13.7721)",2017-03-26,13
51,2017-03-31T00:00:00Z,2017,Trump I,Yemen,"c(46.0825, 13.9284)",2017-03-26,14
52,2017-04-01T00:00:00Z,2017,Trump I,Yemen,"c(46.7137, 13.5202)",2017-03-26,15
53,2017-04-02T00:00:00Z,2017,Trump I,Somalia,"c(42.7666, 0.4833)",2017-04-02,1
54,2017-04-02T00:00:00Z,2017,Trump I,Yemen,"c(46.7648, 14.5753)",2017-04-02,2
55,2017-04-02T00:00:00Z,2017,Trump I,Yemen,"c(46.8559, 14.0871)",2017-04-02,3
56,2017-04-02T00:00:00Z,2017,Trump I,Yemen,"c(46.1714, 13.4251)",2017-04-02,4
57,2017-04-03T00:00:00Z,2017,Trump I,Yemen,"c(49.1593, 14.847)",2017-04-02,5
58,2017-04-05T00:00:00Z,2017,Trump I,Yemen,"c(46.0715, 13.4202)",2017-04-02,6
59,2017-04-05T00:00:00Z,2017,Trump I,Yemen,"c(45.801, 14.0851)",2017-04-02,7
60,2017-04-08T00:00:00Z,2017,Trump I,Yemen,"c(45.801, 14.0851)",2017-04-02,8
61,2017-04-15T00:00:00Z,2017,Trump I,Somalia,"c(44.7709, 3.2307)",2017-04-09,1
62,2017-04-15T00:00:00Z,2017,Trump I,Somalia,"c(43.7021, 2.9786)",2017-04-09,2
63,2017-04-15T00:00:00Z,2017,Trump I,Somalia,"c(41.8674, 3.0359)",2017-04-09,3
64,2017-04-18T00:00:00Z,2017,Trump I,Yemen,"c(45.3669, 15.4739)",2017-04-16,1
65,2017-04-18T00:00:00Z,2017,Trump I,Yemen,"c(45.2833, 15.5833)",2017-04-16,2
66,2017-04-18T00:00:00Z,2017,Trump I,Yemen,"c(47.3986, 14.3837)",2017-04-16,3
67,2017-04-23T00:00:00Z,2017,Trump I,Yemen,"c(46.9715, 14.4222)",2017-04-23,1
68,2017-04-26T00:00:00Z,2017,Trump I,Pakistan,"c(69.505, 32.9762)",2017-04-23,2
69,2017-04-29T00:00:00Z,2017,Trump I,Yemen,"c(47.2764, 14.4132)",2017-04-23,3
70,2017-04-30T00:00:00Z,2017,Trump I,Yemen,"c(46.0918, 13.8749)",2017-04-30,1
71,2017-04-30T00:00:00Z,2017,Trump I,Yemen,"c(45.2756, 15.08)",2017-04-30,2
72,2017-05-05T00:00:00Z,2017,Trump I,Somalia,"c(44.7871, 1.9221)",2017-04-30,3
73,2017-05-07T00:00:00Z,2017,Trump I,Libya,"c(14.4283, 27.0377)",2017-05-07,1
74,2017-05-08T00:00:00Z,2017,Trump I,Yemen,"c(45.3267, 15.5061)",2017-05-07,2
75,2017-05-23T00:00:00Z,2017,Trump I,Yemen,"c(45.1808, 15.1752)",2017-05-21,1
76,2017-05-23T00:00:00Z,2017,Trump I,Yemen,"c(45.1828, 14.4357)",2017-05-21,2
77,2017-05-24T00:00:00Z,2017,Trump I,Pakistan,"c(69.5073, 32.6135)",2017-05-21,3
78,2017-06-04T00:00:00Z,2017,Trump I,Somalia,"c(42.4068, 0.5765)",2017-06-04,1
79,2017-06-06T00:00:00Z,2017,Trump I,Somalia,"c(44.4709, 1.4952)",2017-06-04,2
80,2017-06-06T00:00:00Z,2017,Trump I,Somalia,"c(44.9872, 2.0054)",2017-06-04,3
81,2017-06-10T00:00:00Z,2017,Trump I,Somalia,"c(42.7666, 0.4833)",2017-06-04,4
82,2017-06-11T00:00:00Z,2017,Trump I,Somalia,"c(44.7639, 1.7131)",2017-06-11,1
83,2017-06-11T00:00:00Z,2017,Trump I,Somalia,"c(42.4522, 1.6394)",2017-06-11,2
84,2017-06-11T00:00:00Z,2017,Trump I,Somalia,"c(42.7368, 1.5423)",2017-06-11,3
85,2017-06-13T00:00:00Z,2017,Trump I,Pakistan,"c(70.5369, 33.3485)",2017-06-11,4
86,2017-06-14T00:00:00Z,2017,Trump I,Libya,"c(15.0925, 32.3754)",2017-06-11,5
87,2017-06-16T00:00:00Z,2017,Trump I,Yemen,"c(47.0397, 14.3298)",2017-06-11,6
88,2017-06-19T00:00:00Z,2017,Trump I,Somalia,"c(48.9707, 11.1048)",2017-06-18,1
89,2017-07-01T00:00:00Z,2017,Trump I,Yemen,"c(46.0179, 13.7721)",2017-06-25,1
90,2017-07-01T00:00:00Z,2017,Trump I,Yemen,"c(46.1802, 13.8217)",2017-06-25,2
91,2017-07-02T00:00:00Z,2017,Trump I,Somalia,"c(43.3837, 0.8014)",2017-07-02,1
92,2017-07-03T00:00:00Z,2017,Trump I,Pakistan,"c(69.4357, 32.2403)",2017-07-02,2
93,2017-07-05T00:00:00Z,2017,Trump I,Somalia,"c(42.6044, -0.2037)",2017-07-02,3
94,2017-07-06T00:00:00Z,2017,Trump I,Somalia,"c(43.4099, 3.1706)",2017-07-02,4
95,2017-07-10T00:00:00Z,2017,Trump I,Yemen,"c(47.4486, 14.3271)",2017-07-09,1
96,2017-07-13T00:00:00Z,2017,Trump I,Somalia,"c(43.3837, 0.8014)",2017-07-09,2
97,2017-07-15T00:00:00Z,2017,Trump I,Somalia,"c(42.5945, -0.0416)",2017-07-09,3
98,2017-07-20T00:00:00Z,2017,Trump I,Somalia,"c(42.5719, -0.074)",2017-07-16,1
99,2017-07-21T00:00:00Z,2017,Trump I,Somalia,"c(44.6905, 2.2524)",2017-07-16,2
100,2017-07-21T00:00:00Z,2017,Trump I,Libya,"c(15.3958, 30.5816)",2017-07-16,3
101,2017-07-23T00:00:00Z,2017,Trump I,Somalia,"c(47.4308, 6.7697)",2017-07-23,1
102,2017-07-23T00:00:00Z,2017,Trump I,Yemen,"c(46.1662, 13.5666)",2017-07-23,2
103,2017-07-25T00:00:00Z,2017,Trump I,Libya,"c(16.5887, 31.2089)",2017-07-23,3
104,2017-07-28T00:00:00Z,2017,Trump I,Somalia,"c(42.9766, 2.4074)",2017-07-23,4
105,2017-07-29T00:00:00Z,2017,Trump I,Somalia,"c(44.6905, 2.2524)",2017-07-23,5
106,2017-07-30T00:00:00Z,2017,Trump I,Somalia,"c(44.6905, 2.2524)",2017-07-30,1
107,2017-07-30T00:00:00Z,2017,Trump I,Yemen,"c(46.1872, 13.9249)",2017-07-30,2
108,2017-07-31T00:00:00Z,2017,Trump I,Yemen,"c(45.1808, 15.1752)",2017-07-30,3
109,2017-08-04T00:00:00Z,2017,Trump I,Yemen,"c(45.3561, 15.4503)",2017-07-30,4
110,2017-08-10T00:00:00Z,2017,Trump I,Somalia,"c(45.3337, 2.0414)",2017-08-06,1
111,2017-08-13T00:00:00Z,2017,Trump I,Somalia,"c(44.0821, 2.8049)",2017-08-13,1
112,2017-08-13T00:00:00Z,2017,Trump I,Somalia,"c(42.5463, -0.3603)",2017-08-13,2
113,2017-08-13T00:00:00Z,2017,Trump I,Yemen,"c(46.1663, 13.434)",2017-08-13,3
114,2017-08-16T00:00:00Z,2017,Trump I,Somalia,"c(42.7666, 0.4833)",2017-08-13,4
115,2017-08-17T00:00:00Z,2017,Trump I,Somalia,"c(42.7666, 0.4833)",2017-08-13,5
116,2017-08-19T00:00:00Z,2017,Trump I,Yemen,"c(45.0387, 14.7915)",2017-08-13,6
117,2017-08-31T00:00:00Z,2017,Trump I,Somalia,"c(43.3837, 0.8014)",2017-08-27,1
118,2017-09-01T00:00:00Z,2017,Trump I,Somalia,"c(42.7666, 0.4833)",2017-08-27,2
119,2017-09-01T00:00:00Z,2017,Trump I,Somalia,"c(44.0297, 1.1132)",2017-08-27,3
120,2017-09-01T00:00:00Z,2017,Trump I,Yemen,"c(45.3253, 15.461)",2017-08-27,4
121,2017-09-05T00:00:00Z,2017,Trump I,Somalia,"c(44.6905, 2.2524)",2017-09-03,1
122,2017-09-07T00:00:00Z,2017,Trump I,Somalia,"c(44.0297, 1.1132)",2017-09-03,2
123,2017-09-07T00:00:00Z,2017,Trump I,Somalia,"c(43.3837, 0.8014)",2017-09-03,3
124,2017-09-09T00:00:00Z,2017,Trump I,Yemen,"c(45.7968, 14.1656)",2017-09-03,4
125,2017-09-11T00:00:00Z,2017,Trump I,Yemen,"c(45.8333, 14.25)",2017-09-10,1
126,2017-09-11T00:00:00Z,2017,Trump I,Yemen,"c(45.801, 14.0851)",2017-09-10,2
127,2017-09-12T00:00:00Z,2017,Trump I,Somalia,"c(43.3837, 0.8014)",2017-09-10,3
