date,name,value
2022-01-15,"Chemicals and related products, n.e.s.",5.1732
2022-01-15,Commodities and transactions not classified elsewhere in the SITC,0.1678
2022-01-15,"Food, drinks and tobacco",1.0176
2022-01-15,Machinery and transport equipment,7.4875
2022-01-15,Manufactured goods,20.0527
2022-01-15,"Mineral fuels, lubricants and related materials",-4.3997
2022-01-15,Raw materials,-0.7643
2022-02-15,"Chemicals and related products, n.e.s.",4.0314
2022-02-15,Commodities and transactions not classified elsewhere in the SITC,0.109
2022-02-15,"Food, drinks and tobacco",1.2368
2022-02-15,Machinery and transport equipment,7.0237
2022-02-15,Manufactured goods,20.3305
2022-02-15,"Mineral fuels, lubricants and related materials",-5.18
2022-02-15,Raw materials,-0.48769999999999997
2022-03-15,"Chemicals and related products, n.e.s.",9.0306
2022-03-15,Commodities and transactions not classified elsewhere in the SITC,0.1921
2022-03-15,"Food, drinks and tobacco",1.4967000000000001
2022-03-15,Machinery and transport equipment,7.8344
2022-03-15,Manufactured goods,27.354299999999995
2022-03-15,"Mineral fuels, lubricants and related materials",-6.9931
2022-03-15,Raw materials,-0.44289999999999996
2022-04-15,"Chemicals and related products, n.e.s.",6.3388
2022-04-15,Commodities and transactions not classified elsewhere in the SITC,-0.09440000000000001
2022-04-15,"Food, drinks and tobacco",1.459
2022-04-15,Machinery and transport equipment,6.9207
2022-04-15,Manufactured goods,24.1522
2022-04-15,"Mineral fuels, lubricants and related materials",-8.0066
2022-04-15,Raw materials,-0.36319999999999997
2022-05-15,"Chemicals and related products, n.e.s.",6.4908
2022-05-15,Commodities and transactions not classified elsewhere in the SITC,-0.0402
2022-05-15,"Food, drinks and tobacco",1.4952
2022-05-15,Machinery and transport equipment,7.0188999999999995
2022-05-15,Manufactured goods,24.982499999999998
2022-05-15,"Mineral fuels, lubricants and related materials",-5.787100000000001
2022-05-15,Raw materials,-0.26830000000000004
2022-06-15,"Chemicals and related products, n.e.s.",6.1195
2022-06-15,Commodities and transactions not classified elsewhere in the SITC,-0.30760000000000004
2022-06-15,"Food, drinks and tobacco",1.6237000000000001
2022-06-15,Machinery and transport equipment,6.395899999999999
2022-06-15,Manufactured goods,24.2253
2022-06-15,"Mineral fuels, lubricants and related materials",-7.2083
2022-06-15,Raw materials,-0.3836
2022-07-15,"Chemicals and related products, n.e.s.",3.6155999999999997
2022-07-15,Commodities and transactions not classified elsewhere in the SITC,-0.5155
2022-07-15,"Food, drinks and tobacco",1.5155999999999998
2022-07-15,Machinery and transport equipment,9.0483
2022-07-15,Manufactured goods,24.432299999999998
2022-07-15,"Mineral fuels, lubricants and related materials",-7.8999
2022-07-15,Raw materials,-0.7122999999999999
2022-08-15,"Chemicals and related products, n.e.s.",6.2828
2022-08-15,Commodities and transactions not classified elsewhere in the SITC,-0.062299999999999994
2022-08-15,"Food, drinks and tobacco",1.4868
2022-08-15,Machinery and transport equipment,5.8296
2022-08-15,Manufactured goods,21.492400000000004
2022-08-15,"Mineral fuels, lubricants and related materials",-9.0695
2022-08-15,Raw materials,-0.5152
2022-09-15,"Chemicals and related products, n.e.s.",7.278899999999999
2022-09-15,Commodities and transactions not classified elsewhere in the SITC,0.0516
2022-09-15,"Food, drinks and tobacco",1.6903
2022-09-15,Machinery and transport equipment,7.3166
2022-09-15,Manufactured goods,26.116300000000003
2022-09-15,"Mineral fuels, lubricants and related materials",-8.507299999999999
2022-09-15,Raw materials,-0.5465
2022-10-15,"Chemicals and related products, n.e.s.",6.4757
2022-10-15,Commodities and transactions not classified elsewhere in the SITC,-0.1856
2022-10-15,"Food, drinks and tobacco",1.398
